state,year,value
Mizoram,2008-09,
Nagaland,2008-09,91.0
Odisha,2008-09,1930.0
Puducherry,2008-09,675.0
Punjab,2008-09,10065.0
Kerala,2009-10,5907.0
Ladakh,2009-10,
Madhya Pradesh,2009-10,3523.0
Maharashtra,2009-10,19457.0
Manipur,2009-10,85.0
Meghalaya,2009-10,100.0
Mizoram,2009-10,
Nagaland,2009-10,90.0
Odisha,2009-10,2052.0
Puducherry,2009-10,671.0
Punjab,2009-10,10262.0
Kerala,2010-11,6917.0
Ladakh,2010-11,
Madhya Pradesh,2010-11,4212.0
Maharashtra,2010-11,27892.0
Manipur,2010-11,96.0
Meghalaya,2010-11,94.0
Mizoram,2010-11,
Nagaland,2010-11,84.0
Odisha,2010-11,2536.0
Puducherry,2010-11,827.0
Punjab,2010-11,12770.0
Kerala,2011-12,7031.0
Ladakh,2011-12,
Madhya Pradesh,2011-12,4286.0
Maharashtra,2011-12,28215.0
Manipur,2011-12,102.0
Meghalaya,2011-12,100.0
Mizoram,2011-12,
Nagaland,2011-12,86.0
Odisha,2011-12,2678.0
Puducherry,2011-12,832.0
Punjab,2011-12,12593.0
Kerala,2012-13,7129.0
Ladakh,2012-13,
Madhya Pradesh,2012-13,4206.0
Maharashtra,2012-13,28949.0
Manipur,2012-13,128.0
Meghalaya,2012-13,116.0
Mizoram,2012-13,
Nagaland,2012-13,106.0
Odisha,2012-13,2854.0
Puducherry,2012-13,911.0
Punjab,2012-13,12427.0
Kerala,2013-14,7132.0
Ladakh,2013-14,
Madhya Pradesh,2013-14,4047.0
Maharashtra,2013-14,29123.0
Manipur,2013-14,145.0
Meghalaya,2013-14,108.0
Mizoram,2013-14,
Nagaland,2013-14,134.0
Odisha,2013-14,2714.0
Puducherry,2013-14,857.0
Punjab,2013-14,12278.0
Kerala,2014-15,7320.0
Ladakh,2014-15,
Madhya Pradesh,2014-15,4240.0
Maharashtra,2014-15,28601.0
Manipur,2014-15,160.0
Meghalaya,2014-15,109.0
Mizoram,2014-15,
Nagaland,2014-15,197.0
Odisha,2014-15,2803.0
