state,ger,life_expectancy,unemployment_rate,cd_ratio,per_capita_power,td_losses,road_density,factory_density,msme_density,manufacturing_share,investment_rate
Rajasthan,0.1587239583333333,0.16666666666666707,0.07173539518900351,-0.10594002306805078,0.040960948092364446,0.14763231197771598,0.05712193905791198,0.4329040442384778,0.18538166579533466,0.27986757275045754,0.1999185150399565
Chandigarh,-0.3803385416666667,,0.24183848797250862,0.0269319492502883,0.02814034520790444,0.027855153203342753,0.09262633419262217,0.33613939653713837,0.04470285475092439,0.5218193197112877,0.5240748533790721
Assam,0.3571614583333334,0.176470588235294,0.07173539518900351,0.08921568627450982,0.11332534826377424,0.07242339832869094,-0.22505521563668934,0.3616822050549795,0.34873816964629356,0.28256186024454705,0.2149730722041086
Jharkhand,0.37122395833333344,-0.06862745098039225,-0.1653780068728522,0.2615340253748558,0.11175175097822955,0.22284122562674102,0.09188913212907437,0.5562412128331193,0.37903163201135154,0.019036074361297617,0.18014555524603937
Chhattisgarh,0.2930989583333335,0.5882352941176471,-0.021048109965635775,-0.029815455594002283,0.03897287652178795,0.20055710306406704,0.04435871519941509,0.35480776957738797,0.31285923382429587,0.15799423439854343,0.1262377123332925
Mizoram,0.1665364583333333,,-0.24785223367697595,0.18748558246828145,0.09844642392991865,0.1030640668523678,-0.31816436861704894,0.3709507486706482,0.34442123317953116,0.5892897597687828,0.559897613520444
Madhya Pradesh,0.4321614583333333,0.3431372549019609,-0.32001718213058417,-0.019434832756632048,0.054708849377234844,0.20612813370473548,0.027178865885727987,0.5852161704851024,0.17294325382455455,0.37657166390193303,0.304262686225543
Tripura,0.2602864583333333,,-0.2530068728522338,0.23177623990772772,0.10577348629073614,0.3844011142061283,-0.10161092848080042,0.3616561125484178,-0.09148778334016516,0.5252003280882488,0.541230192108692
Jammu & Kashmir,0.4555989583333333,-0.40196078431372617,0.35524054982817876,0.12658592848904265,0.03436448447126424,,-0.10757969003756271,0.5560921458148224,0.09611653489695982,0.4225794322526494,0.4851321629448503
Uttar Pradesh,0.3665364583333334,0.3235294117647057,-0.0313573883161512,0.17226066897347175,0.08972138898060394,0.16434540389972152,0.09729165094381659,0.5143827586283458,0.42107222331347655,0.28344018856284664,0.2658911885226139
